"Flux/Origine","type","Statut","superviseur","Date posté","Date reçu","Date Traité","pseudo","Uid","Titre","Corps Message","Image","Prio","Id.N","ID du contenu","Action"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","25.03.2026 13:23:49","25.03.2026 14:24:20","25.03.2026 14:24:21","Candide","","","Il croyait ... en des illusions et des chimères, déjà oblolètes, condamnées par l'échec mondial du communisme et qu'a-t-il fait ? privatisations après s'être fait élire pour des nationalisations ; capitulation sur le voile (= piétinement de notre laïcité, de nos lois, de nos anciens, morts pour notre liberté, accélérateur vers la guerre civile ?) ; capitulation sur l'immigration incontrôlée ; 35 heures ; crypto-trotskyste = gouvernant de la France prônant en secret le renversement de son propre gouvernement par une révolution anti-démocratique ... attrape-nigaud alibi supplémentaire de ses propres privilèges de fonctionnaire-gauche-caviar ? Liste à compléter ... ? Le pire, aucune auto-critique de ses co-religionnaires depuis des décennies, de nos jours encore, et au contraire, insulte des opposants (complotistes, populistes, fascistes, nazis, néo-nazis, etc. etc) ? Deuil national ? Au Panthéon ?","","26","26974861847","478577","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","23.03.2026 21:37:08","23.03.2026 22:37:37","23.03.2026 22:37:38","Marjorie","","","N’oubliez pas que le RSA est une invention de droite et c’est Sarko qui en a eu l’idée, payer à plein temps un temps partiel! Après le clientélisme est l’affaire de tous les politiciens, faire croire à la population qu’il suffit de renvoyer les étrangers chez eux pour résoudre le problème de l’immigration est un leurre , c’est comme chasser un chat par la porte, il rentre par la fenêtre.","","26","26969539540","478487","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","25.03.2026 22:03:04","25.03.2026 23:03:14","25.03.2026 23:03:15","Candide","","","CMU internationale avec préférence étrangère ; Bac pour 80 % (pourquoi pas 100 % ? Y aurait-il discrimination, racisme, xénophobie, élitisme ?) dont un certain nombre (interdit de le préciser, de le déterminer) sachant à peine lire et écrire ? En sus d'être absurde, c'est injuste et pire … préjudiciable, voire funeste pour l'intérêt général. Autre peinture : Churchill a dit que les socialistes sont comme Christophe Colomb : ils ne savent pas où ils sont, ils ne savent pas où ils vont et c'est pas eux qui paient le voyage ! C'était il y a plus de 60 ou 100 ans. Que dire aujourd'hui à la lumière de l'histoire : des héritiers prodigues et faussaires de gens qui pour certains furent sincères et conquirent des avancées sociales, à l'exclusion de tant de massacres ?","","26","26976378147","478584","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","27.03.2026 08:29:46","27.03.2026 09:30:16","27.03.2026 09:30:17","alpha","","","Cela ne date pas d'hier : transformation-fermeture -fusion des hôpitaux publics, fusion des communes ( comment accepter 36000 communes en France,?)comment accepter des déficits chroniques qui plaisent à tout le magma de fonctionnaires et élus ?Comment accepter des hôpitaux totalement hors normes , hors budgets ? les 35 heures , la bêtise administrative de l'empilage des structures (communes, communautés de communes, départements , régions, ministères), et bien évidemment.........les neuneus de français qui payent des impôts pour ces bêtises et ces élus crétins qui monopolisent les budgets vraiment ce pays est à reformer de A à Z","","26","26980977649","478634","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","28.03.2026 17:21:54","28.03.2026 18:22:12","28.03.2026 18:22:12","avatar","","","Un homme qui a caché son activité au sein de l'association communiste internationale, jurant qu'il n'en faisait pas partie, qu'on confondait avec son frère jusqu'aux années 2000, pour dire qu'au final il avait bien été agent ACI, que son rôle était d'investir le PS entre autres, qui a fait cesser la filière Super Phénix qui recycle les déchets d'uranium et que l'on relance en 2026 avec 25 ans de retard sur les Etats Unis and co. Cet homme Jospin était pour l'intervention en Irak et il l'a fait savoir à l'ambassadeur américain à Paris à l'époque, franchement sur ce coup quel c... Il a lancé l' AME. On peut s'interroger sur la progression impressionnante de la dépense pécuniaire au fil des années. Je fais mes actes AME gratuits. Mais franchement pour l'ACI quel dissimulé, pour l'Irak quel soumis ! Pour le nucléaire quel aveugle !","","26","26985546838","478730","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","20.03.2026 01:36:49","20.03.2026 02:37:01","20.03.2026 02:37:03","MARIE JO G","","","oui vous êtres trop occupé pour appeler les médecins traitants, car à 17 h , vous fermez la boutique, pauvre chéris ! qui vous donne raison, des gens comme vous ? les gens que vous convoqués ont peur et ils nous disent que vous les examinez pas , que vous ne regardez pas les examens... La réalité dans le quotidien en seule consultation , vous avez surement une boule de cristal ? s'être fait avoir ? vous ne faîtes pas honneur à la profession et surtout vous salissez notre métier car c'est des gens avec vos idées qui ont participé dans les camps de concentration ou dans les salles de torture: des gens qui se croient mieux que les autres parce qu'ils ont un pouvoir . vous êtes la honte de notre profession !","","26","26957062354","478365","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","19.03.2026 13:10:13","19.03.2026 14:10:18","19.03.2026 14:10:19","ANNE Y","","","Ca rappelle le sketch de Coluche du pongiste de 60 kg qui s'écrase devant l'haltérophiliste balaise de 95 kg...hélas il y a des ""bas de plafond"" qui ne comprennent que le rapport de force, lequel commence par la différence de proportions","","26","26955211744","478320","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","19.03.2026 07:20:01","19.03.2026 08:20:22","19.03.2026 08:20:23","BDA_1","","","Vu ce président ta ""montagne"" accouchera d'une souris..","","26","26954244332","478298","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Racisme","","20.03.2026 23:02:32","21.03.2026 00:03:00","21.03.2026 00:03:02","Candide","","","C'est comme la mémé de 90 ans qui ""se fait"" violer chez elle par un OQTF : t'écrase pas mémé ! Non mais allo ! quoi ! Et puis, tu pouvais pas être ailleurs !","","26","26960265731","478403","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Racisme","","18.03.2026 23:39:58","19.03.2026 00:40:30","19.03.2026 00:40:31","CYRILLE V","","","Quand un rom débarque sans rv dans mon cabinet et exige de passer tout de suite, et qu’il se met à me traiter de raciste en hurlant parce que je refuse, je commence à discuter avec lui en le filmant avec mon portable. Ça calme instantanément. Quand la manipulation échoue, ils n’insistent pas et ils partent.","","26","26953462054","478274","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Racisme","","20.03.2026 21:18:59","20.03.2026 22:19:10","20.03.2026 22:19:11","jacques T_4","","","Entièrement d'accord, on fait comme on peut ! Encore d'accord, concernant les populations roms : même les gens du voyage se plaignent de leur violence...","","26","26960021913","478398","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Illégal","","21.03.2026 12:01:35","21.03.2026 13:01:57","21.03.2026 13:01:59","Sniffeur","","","Un bourre pif? La sulfateuse?","","26","26961745765","478419","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Vulgarité","","20.03.2026 20:59:20","20.03.2026 21:59:51","20.03.2026 21:59:52","jacques T_4","","","Elle se fout de nous, en disant qu'au moment où la grève a démarré la plupart des mesures urticantes avaient été écartées du PLFSS !!!! Dans la réalité, la grève a été annoncée très longtemps à l'avance, mais rien n'a bougé pendant très longtemps. C'est juste qq jours avant le début de la grève que certaines mesures ont été retirées !!! Jusqu'au dernier moment, les mesures urticantes ont donc été maintenues !!! Cela prouve d'ailleurs le manque total de respect vis à vis des médecins. Enfin, comme le rappelle VR (21/03/26, à 13h34), le discours qu'elle nous tient aujourd'hui est très différent de celui qu'elle tenait avant la grève...","","26","26959971275","478397","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Vulgarité","","20.03.2026 20:41:06","20.03.2026 21:41:09","20.03.2026 21:41:10","jacques T_4","","","Excellente idée de comparer cette technocrate avec une de nos consœurs ! Et vous avez parfaitement raison la différence est choquante, effrayante et profondément injuste !!! Et après cela elle affirme être de gauche.....","","26","26959923210","478396","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Vulgarité","","24.03.2026 20:17:01","24.03.2026 21:17:18","24.03.2026 21:17:20","Sniffeur","","","Le début de la bordelisation avec Aubry","","26","26972691442","478555","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Vulgarité","","24.03.2026 20:23:46","24.03.2026 21:24:06","24.03.2026 21:27:37","Sniffeur","","","Et’làconnerie est Hollandaise","","26","26972718190","478561","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Vulgarité","","24.03.2026 20:08:48","24.03.2026 21:09:21","24.03.2026 21:09:23","Sniffeur","","","Et contribuer à l’anéantissement !!! Stop conneries","","26","26972664542","478549","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Vulgarité","","29.03.2026 12:19:32","29.03.2026 14:19:38","29.03.2026 14:19:38","BDA_1","","","38 centres !! On se fout de qui ? Alors que la moindre ordonnance d'un médecin libéral est épiée ? Du grand n'importe quoi !","","26","26987988066","478744","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Vulgarité","","28.03.2026 14:15:55","28.03.2026 15:15:56","28.03.2026 15:15:57","fannie","","","Il paraitrait que Gege ne s'est meme pas presente a la convocation. Qq'un peut il confirmer? Grande gueule mais vieux lache. Il sait tres bien que son niveau de haine des autres medecins et de sa desinformation le menent directo a la radiation definitive. Il le sait, nous le savons. Que l'Ordre fasse enfin son travail.","","26","26985077971","478719","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Vulgarité","","20.03.2026 15:03:38","20.03.2026 16:03:53","20.03.2026 16:03:53","fannie","","","Ses opinion sont sans interet aucun. C'est une acitiviste politique sponsorisee par vous savez qui. Elle se fiche bien de la sante des francais ou des problemes des medecins qu'elle hait de tout son etre, comme son mari d'ailleurs. Mais elle est determinee a utiliser le sujet pour faire avancer sa carriere. Ce genre d'article de placement marketing coute tres cher. Surtout quand il faut en refaire tous les 6 mois au gre de ses vapeurs politiques du moment. C'est en fait un case report pour qui veux etudier comment on place ainsi les politiques dont on sait qu'ils serviront la cause.","","26","26958938105","478384","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Discriminatoire","","20.03.2026 10:41:04","20.03.2026 11:41:29","20.03.2026 11:41:29","MICHAëL F","","","Gestion du CNOM et des CDO locaux. Sujet rémanent, curieusement toujours remis au jour lors des périodes électorales. Nul n'a besoin de rapport afin de constater que cette noble institution qui reste utile a été gérée de façon plus que légère pendant des années et est parfois tombée dans des dérapages quasi mafieux. Pour autant je crois que les pairs élus d'aujourd'hui sont en très grande majorité honnêtes et motivés. Un nettoyage des écuries d'Augias est probablement sain s'il reste des reliquats de corruption dans certains domaines et pour très faible minorité d'élus. Là où des réformes semblent urgentes, malheureusement toujours repoussées, c'est : 1°) Sur la dépendance de cette instance envers les lobbies et la politique, voire les obédiences. 2°) Sur la constitution des commissions disciplinaires et les sections d'assurances sociales , qui sont de véritables tribunaux d'exception où règne l'arbitraire et le fait de prince, l'absence de droits de la défense selon les règles du droit républicain, le seul recours étant le Conseil d'Etat parfaitement politisé. Une refonte de ces commissions avec introduction des voies de recours identiques aux tribunaux civils et une gestion par des magistrats professionnels semble être un minimum, s'il l'on veut rendre la noblesse à cette institution et à la médecine !","","26","26958179173","478375","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 10:24:25","20.03.2026 11:24:54","20.03.2026 11:25:00","MICHAëL F","","","Cette haute fonctionnaire nommée par la Macronie aux sommet de l'assurance-maladie qui appartient aux contribuables et non à l'Etat, passée vers la gauche caviar socialiste se croit autorisée à donner des leçons de morale et de politique, un mélange des genres pas très catholique tout çà !","","26","26958131830","478374","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 10:18:28","20.03.2026 11:18:45","20.03.2026 11:18:47","Candide","","","Vous oubliez Belzébuth dans votre belle démonstration si argumentée. Trump et Poutine, quels qu'ils soient, ne sont pas responsables de l'effondrement de notre pays, mais plutôt de la prospérité et de la force du leur : nous avons donc de quoi les insulter en permanence à coup de contre-vérités et de censure, nous, dont les chefs éclairés et valeureux nous désarment depuis des décennies pour maintenant ... déclarer la guerre ... oui je sais, en même temps sans la déclarer … ni la faire ! Κύριε ἐλέησον !","","26","26958115085","478373","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 09:47:06","20.03.2026 10:47:23","20.03.2026 10:47:24","JEAN FRANCOIS R_9","","","Pour nombre de chefs de services de CHU leur CD est leur bâton de vieillesse. On peut leur reprocher une méconnaissance du monde libéral qui pose question.","","26","26958028212","478372","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 09:47:06","20.03.2026 10:47:22","20.03.2026 10:47:23","JEAN FRANCOIS R_9","","","Pour nombre de chefs de services de CHU leur CD est leur bâton de vieillesse. On peut leur reprocher une méconnaissance du monde libéral qui pose question.","","26","26958028211","478371","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 09:34:50","20.03.2026 10:35:12","20.03.2026 10:35:14","doc911","","","Une interview. Ou une conversation si on abhorre les anglicismes.","","26","26957994888","478370","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 09:03:21","20.03.2026 10:03:54","20.03.2026 10:03:57","doc911","","","Et, rassure nous, le dos du collègue médecin, après ces bons soins du collègue kiné, ça s'est amélioré ? Car trop de mauvaises nouvelles accumulées nuit désespérément à mon moral.","","26","26957903796","478369","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 08:50:49","20.03.2026 09:51:11","20.03.2026 09:51:12","François P_9","","","@ CYRILLE V Vos arguments, raisonnements et développements intellectuels sont imparables. Quel niveau! Dr François Picot","","26","26957871423","478368","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 07:28:42","20.03.2026 08:29:07","20.03.2026 08:29:09","lionel v","","","C'est sympa de la part du QDM de pouvoir faire passer son CV pour postuler au poste de ministre de la santé au 2ème trimestre 2027.","","26","26957637559","478367","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 05:13:02","20.03.2026 06:13:24","20.03.2026 06:13:25","PIERRE F_4","","","L'erreur, c'est de l'avoir inventé!","","26","26957336852","478366","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 15:02:11","20.03.2026 16:02:38","20.03.2026 16:02:43","Candide","","","La boucle est bouclée en effet, celle de la Nomenklatura technocratique en fait ni humaine ni scientifique, purement figurative, dans des jeux de rôle tendance droite ou gauche afin d'embrouiller l'électeur, qui lui-même s'en fiche ... tant qu'il n'est pas ""touché"" personnellement ? Nomenklatura héréditaire, éventuellement cooptée, bénéficiant de la rente politico-administrative sub-princière, garantie à vie, inamovible, avec avancement automatique, d'autant plus déresponsabilisée financièrement dans les fonds publics insondables jusqu'en l'opacité et les ténèbres de la dette. J'arrête ... et ce soir vais tâcher de ne pas trop forcer sur l'apéro. : en effet, vieux et modeste rural, démocrate, pour le moins républicain, non fanatique, je n'ai pas été initié aux évasions, fuites en avant, sauve-qui-peut ""progressistes"".","","26","26958934590","478383","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 14:40:28","20.03.2026 15:40:38","20.03.2026 15:40:38","JACQUES B","","","pas de conflit d'interet ?","","26","26958865317","478382","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 14:36:26","20.03.2026 15:36:40","20.03.2026 15:36:42","V R","","","Mais le problème est essentiellement un problème de recette...si les financeurs ne veulent pas le faire on se dirigera inexorablement vers une diminution de la qualité du système de soins et /ou vers le renoncement aux soins des patients par déremboursement partiel ou total! Si déjà l'ensemble des recettes prévues pour le financement de la sécu lui était déjà réellement attribué, la sécu serait en meilleure santé!","","26","26958853673","478381","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 13:21:33","20.03.2026 14:21:44","20.03.2026 14:21:45","Asymptômatix","","","Excusez = de celles enseignées","","26","26958642343","478380","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 12:57:00","20.03.2026 13:57:31","20.03.2026 13:57:32","BDA_1","","","https://search.app/gZb8E","","26","26958570600","478379","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 12:46:29","20.03.2026 13:46:59","20.03.2026 13:47:02","Asymptômatix","","","Il est souhaitable d'énumérer clairement la liste des pratiques non conventionnelles, de ceux enseignés par les DU ? les DIU ? et les CAPA NAT ?. En effet, les évaluations sont aussi difficiles que certains médicaments ayant l'AMM et remboursés dans les troubles cognitifs.","","26","26958540669","478378","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 12:34:34","20.03.2026 13:34:51","20.03.2026 13:34:53","V R","","","Ce n'est pas du tout le discours qu'elle avait avant, notamment avec un mépris des médecins...dont elle trouvait les libertés trop grandes...","","26","26958501683","478377","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","20.03.2026 10:49:53","20.03.2026 11:50:22","20.03.2026 11:50:24","tapas92","","","37 ans. Fille de député, conjointe de député (et ancien ministre), sœur de député, belle sœur de député (qui est porte-parole du gouvernement actuel) et ancienne du cabinet McKinsey (la boucle est bouclée).","","26","26958201921","478376","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","19.03.2026 13:06:44","19.03.2026 14:06:46","19.03.2026 14:06:50","ANNE Y","","","Non c'étaient des jeunes de la cité ne faisant pas partie de ma patientèle. Les autres médecins exerçant alentours avaient TOUS subi agressions et dégradations de leurs locaux.. Et qu'on ne me fasse pas le coup de la pauvreté: je garais quotidiennement ma petite AX cabossée au milieu de BM et de Ferrari...ce qui m'a sûrement valu de ne me la faire ni voler ni brûler (activité très prisée dans le quartier). A côté de celà dans mon activité j'étais amenée à faire 3 à 4 certifs de coups et blessures chaque semaine! Une fois installée en centre ville:plus aucun problème! C 'est juste un vécu et un constat à l'état brut","","26","26955201544","478319","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","19.03.2026 12:59:57","19.03.2026 14:00:05","19.03.2026 14:00:10","doc911","","","Au CDOM l'""affaire"" insignifiante tourna à la farce. Convoqué un Lundi matin de Février ensoleillé j'étais rentré halé dans la nuit d'un trek au Laos. J'arrive en retard au CDOM rue du Mesly, me gare sauvagement en laissant un mot près du caducée. Puis, surprise, en face du plaignant coincé et courroucé sur les 3 Docteurs conciliateurs il y a l'un de nos remplaçants, hospitalier public qui ne tient pas à ce que cela s'ébruite et un de nos cardio depuis peu retraité. Deux bons potes, voire amis. J'évite tout juste de le faire remarquer, les laisse me chaperonner et déjà la porte s'ouvre. La secrétaire hilare me lance ""C'est à vous, Docteur, je suppose, le roadster rouge décapoté à l'angle de la rue qui empêche les éboueurs de tourner"". Eclat de rire, rideau, et l'obstiné furieux m'expédie sur les îles du XVème après que je les ai encore fait poiroter en allant remuer l'auto.","","26","26955184776","478318","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","19.03.2026 11:48:01","19.03.2026 12:48:24","19.03.2026 12:48:25","BDA_1","","","Fais condamner les autres alors que tu n'es pas condamné toi même.","","26","26954976623","478317","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","19.03.2026 11:07:37","19.03.2026 12:07:46","19.03.2026 12:07:48","Candide","","","Vous avez raison : la méthode Frankistanaise qui consiste à s'écraser a fait ses preuves !!! Dans les années 50-65 et antérieures, les médecins étaient respectés et admirés ... et je ne reviens pas sur l'insécurité, la criminalité, la drogue ! Souhaitons que la population en prenne conscience ... et réagisse avant qu'il ne soit trop tard.","","26","26954865770","478316","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","19.03.2026 10:48:55","19.03.2026 11:49:28","19.03.2026 11:49:30","Candide","","","Un des symptômes les pires de notre société, lui même facteur immensément aggravant, c'est le déni prémédité de réalité, le mensonge promu, érigé en substitut fallacieux du raisonnement, la manipulation de l'autre, de l'interlocuteur-citoyen, bref ""la com"" qui remplace, qui prétend interdire, une expression sincère, franche, démocratique, respectueuse, pacifique, constructive. Comportement encouragé, enseigné, rétribué, d'autant catalysé par des personnalités sadiques, perverses ? Je n'ai pas besoin de préciser que ce n'est pas vous que je vise. Bien au contraire. Avec ma sympathie ... pour vous.","","26","26954815195","478315","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","19.03.2026 10:45:08","19.03.2026 11:45:30","19.03.2026 11:45:32","NICOLAS B_96","","","Ces fonctions (Ordre, URPS) devraient être bénévoles ! Plein de médecins font des démarches pour améliorer leur profession de façon spontanée. Cela est largement suffisant pour discuter et améliorer la profession. Cela réduira également le déficit de médecins qui travaillent vraiment. Arrêtons de vouloir se faire payer pour défendre des choses.","","26","26954804231","478314","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","19.03.2026 10:39:35","19.03.2026 11:40:26","19.03.2026 11:40:28","NICOLAS B_96","","","C'est la CMRA qui me donne raison 9 fois sur 10, composée de 2 médecins que je ne connais pas : un médecin-conseil d'un autre département + un médecin-expert (souvent des légistes hospitaliers) avec dernier mot pour ce dernier en cas de désaccord entre eux.","","26","26954789851","478313","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","19.03.2026 09:59:34","19.03.2026 10:59:47","19.03.2026 10:59:48","I.A","","","Et on n’élit plus aucun politique.","","26","26954680051","478312","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Accepté","","19.03.2026 09:56:41","19.03.2026 10:56:53","19.03.2026 10:56:56","I.A","","","Il y a 17 ans, hélas personne ne savait, ou alors on ne crée plus rien.","","26","26954671540","478311","Editer"
